Epoch 312 | WER 14.51875714 | Loss 7.52060127
Epoch 313 | WER 13.76023074 | Loss 7.36954641
Epoch 314 | WER 13.89695278 | Loss 7.21323729
Epoch 315 | WER 14.73975989 | Loss 7.27750587
Epoch 316 | WER 14.26966082 | Loss 7.27869415
Epoch 317 | WER 14.95327103 | Loss 7.16152859
Epoch 318 | WER 15.35032682 | Loss 7.12645912
Epoch 319 | WER 14.18912592 | Loss 7.18164778
Epoch 320 | WER 14.57869009 | Loss 7.11555815
Epoch 321 | WER 14.98698331 | Loss 7.07552290
Epoch 322 | WER 15.45708239 | Loss 7.27610826
Epoch 323 | WER 14.32022924 | Loss 7.06677771
Epoch 324 | WER 20.48395857 | Loss 7.11622715
Epoch 325 | WER 15.84102785 | Loss 7.50953484
Epoch 326 | WER 15.00945817 | Loss 7.18578148
Epoch 327 | WER 15.39527653 | Loss 7.06422567
Epoch 328 | WER 15.25668159 | Loss 7.05011606
Epoch 329 | WER 15.23795254 | Loss 7.02090311
Epoch 330 | WER 15.39527653 | Loss 6.85177326
Epoch 331 | WER 15.67433933 | Loss 6.84053516
Epoch 332 | WER 16.71942015 | Loss 6.78838873
Epoch 333 | WER 15.94965632 | Loss 6.98901176
Epoch 334 | WER 15.09561178 | Loss 6.78474331
Epoch 335 | WER 16.21560879 | Loss 7.05468178
Epoch 336 | WER 17.31313093 | Loss 6.78066111
Epoch 337 | WER 17.32811417 | Loss 7.05677986
Epoch 338 | WER 16.43473864 | Loss 6.99976015
Epoch 339 | WER 16.02457251 | Loss 6.75235510
Epoch 340 | WER 16.19875265 | Loss 6.74008512
Epoch 341 | WER 15.56945667 | Loss 6.79219484
Epoch 342 | WER 16.77935310 | Loss 6.66936922
Epoch 343 | WER 15.76236585 | Loss 6.67460918
Epoch 344 | WER 16.71192853 | Loss 7.05554485
Epoch 345 | WER 18.19152323 | Loss 6.62430859
Epoch 346 | WER 17.02283071 | Loss 6.70272207
Epoch 347 | WER 16.14069260 | Loss 6.85449696
Epoch 348 | WER 17.06778042 | Loss 6.57771969
Epoch 349 | WER 16.53025678 | Loss 6.91945314
Epoch 350 | WER 16.24557526 | Loss 6.73209715
Epoch 351 | WER 17.14269661 | Loss 6.53505325
Epoch 352 | WER 16.96289776 | Loss 6.79443693
Epoch 353 | WER 17.01908490 | Loss 6.50077105
Epoch 354 | WER 17.05841590 | Loss 6.45739412
Epoch 355 | WER 16.65948720 | Loss 6.63177061
Epoch 356 | WER 16.92918547 | Loss 6.54257536
Epoch 357 | WER 16.86737962 | Loss 6.59943342
Epoch 358 | WER 17.14831532 | Loss 6.74317122
Epoch 359 | WER 17.14456951 | Loss 6.51054955
Epoch 360 | WER 16.86363381 | Loss 6.56010962
Epoch 361 | WER 17.12958628 | Loss 6.45323515
Epoch 362 | WER 17.00972038 | Loss 6.45788288
Epoch 363 | WER 17.04343266 | Loss 6.44269180
Epoch 364 | WER 17.32811417 | Loss 6.30552101
Epoch 365 | WER 18.15781095 | Loss 6.29357529
Epoch 366 | WER 17.48543817 | Loss 6.55411434
Epoch 367 | WER 17.21948570 | Loss 6.59229565
Epoch 368 | WER 17.05279718 | Loss 6.49571133
Epoch 369 | WER 17.74577192 | Loss 6.39466858
Epoch 370 | WER 17.35808065 | Loss 6.26890612
Epoch 371 | WER 17.57721050 | Loss 6.32898951
